seed,order_id,legacy_order_id,run_order_id,order,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,matched_step_cap_per_task,effective_epoch_passes_per_task,optimizer_steps_total,optimizer_steps_per_task,optimizer_steps,processed_examples_total,processed_examples_per_task,processed_examples,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,AF,elapsed_seconds,elapsed_time_seconds,device,train_cap_per_digit,test_cap_per_digit,result_kind,task_0_A_after,task_1_A_after,task_2_A_after,task_3_A_after,task_4_A_after,task_0_A_end,task_1_A_end,task_2_A_end,task_3_A_end,task_4_A_end,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
6,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9862,0.991,0.975,0,0.2878,0.873,0.873,1.243,1.243,cuda:0,1000,500,all_120perm_4methods,0.999,0.975,0.991,0.991,0.975,0.0,0.0,0.0,0.464,0.975,0.0,0.0,0.0,0.464,0.975
6,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9800000000000001,0.977,0.968,0,0.44699999999999995,0.66625,0.66625,1.406,1.406,cuda:0,1000,500,all_120perm_4methods,0.999,0.97,0.986,0.977,0.968,0.0,0.002,0.355,0.91,0.968,0.0,0.002,0.355,0.91,0.968
6,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9876000000000001,0.993,0.976,0,0.1974,0.98775,0.98775,3.558,3.558,cuda:0,1000,500,all_120perm_4methods,0.999,0.976,0.994,0.993,0.976,0.0,0.011,0.0,0.0,0.976,0.0,0.011,0.0,0.0,0.976
7,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9869999999999999,0.991,0.973,0,0.1958,0.989,0.989,1.188,1.188,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.993,0.991,0.979,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.979
7,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9848000000000001,0.988,0.972,0,0.2964,0.8605,0.8605,1.259,1.259,cuda:0,1000,500,all_120perm_4methods,0.999,0.972,0.988,0.992,0.973,0.0,0.0,0.0,0.509,0.973,0.0,0.0,0.0,0.509,0.973
7,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9808,0.982,0.969,0,0.5242,0.57075,0.57075,1.429,1.429,cuda:0,1000,500,all_120perm_4methods,0.999,0.969,0.982,0.983,0.971,0.066,0.124,0.542,0.918,0.971,0.066,0.124,0.542,0.918,0.971
7,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9856,0.992,0.971,0,0.19419999999999998,0.98925,0.98925,3.75,3.75,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.993,0.992,0.971,0.0,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,0.971
8,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9868,0.992,0.973,0,0.1954,0.98925,0.98925,1.258,1.258,cuda:0,1000,500,all_120perm_4methods,0.999,0.973,0.992,0.993,0.977,0.0,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.977
8,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9841999999999999,0.986,0.968,0,0.34340000000000004,0.8009999999999999,0.8009999999999999,1.267,1.267,cuda:0,1000,500,all_120perm_4methods,0.999,0.968,0.99,0.986,0.978,0.0,0.0,0.0,0.739,0.978,0.0,0.0,0.0,0.739,0.978
8,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9823999999999999,0.983,0.97,0,0.5412,0.5515,0.5515,1.503,1.503,cuda:0,1000,500,all_120perm_4methods,0.999,0.97,0.983,0.988,0.972,0.0,0.374,0.458,0.902,0.972,0.0,0.374,0.458,0.902,0.972
